country,iso_code,year,population,gdp,fossil_fuel_consumption,renewables_consumption,fossil_share_energy,renewables_share_energy,energy_per_capita,energy_cons_change_twh,energy_cons_change_pct,electricity_generation,total_energy_demand,pop_growth_rate,renew_fossil_ratio
Algeria,DZA,1990,25375759,117843181568,314.575,0.375,99.881,0.119,12412.387,17.905,6.027,16.104,314.95,NA,0.001192084558531352
Argentina,ARG,1990,32755859,338751160320,440.163,49.619,86.305,9.729,15680.416,-8.488,-1.626,51.005,489.78200000000004,NA,0.11272869368847449
Australia,AUS,1990,17126249,464136601600,1005.011,43.372,95.863,4.137,61372.422,21.366,2.075,155.654,1048.383,NA,0.04315574655401782
Austria,AUT,1990,7679582,207979118592,237.005,91.095,72.236,27.764,43469.043,2.851,0.861,49.27,328.1,NA,0.3843589797683593
Azerbaijan,AZE,1990,7231035,53235601408,255.649,4.606,98.23,1.77,36032.359,10.499,4.199,23.152,260.255,NA,0.01801689034574749
Bangladesh,BGD,1990,111633674,112105267200,71.242,2.456,96.668,3.332,661.596,4.242,6.094,7.732,73.69800000000001,NA,0.034474046208697116
Belarus,BLR,1990,10186209,116974870528,465.913,0.056,99.988,0.012,45745.43,2.312,0.499,39.526,465.969,NA,1.2019411349329166e-4
Belgium,BEL,1990,9960924,273278730240,498.421,1.64,80.555,0.265,62379.02,26.782,4.504,70.29,500.061,NA,0.003290391054951537
Brazil,BRA,1990,149143183,1185475198976,859.271,660.05,56.326,43.267,10479.677,-18.564,-1.174,222.82,1519.321,NA,0.768151142072757
Bulgaria,BGR,1990,8822320,79352520704,277.976,4.528,85.997,1.401,36771.301,-26.88,-7.652,41.9,282.504,NA,0.016289176043975017
Canada,CAN,1990,27789386,835996811264,1916.016,833.704,64.928,28.252,108263.711,-118.81,-3.799,480.593,2749.7200000000003,NA,0.43512371504204556
Chile,CHL,1990,13437138,133955190784,126.167,27.847,81.919,18.081,11585.846,7.858,5.316,18.398,154.014,NA,0.22071540101611356
China,CHN,1990,1153582668,3385121832960,7563.273,352.278,95.55,4.45,6881.388,101.813,1.299,621.2,7915.551,NA,0.04657745396734985
Colombia,COL,1990,32440020,253538205696,170.302,77.234,68.799,31.201,7783.015,-12.004,-4.539,38.246,247.536,NA,0.4535119963359209
Croatia,HRV,1990,4835027,58374078464,89.202,10.915,89.097,10.903,20852.008,NA,NA,8.81,100.11699999999999,NA,0.12236272729311001
Cyprus,CYP,1990,788307,10601790464,19.275,0,100,0,24450.545,0.963,5.256,1.97,19.275,NA,0
Czechia,CZE,1990,10301937,146168283136,507.601,3.225,93.004,0.591,53071.965,-89.256,-14.034,62.27,510.826,NA,0.006353415379402326
Denmark,DNK,1990,5140973,151205740544,199.403,2.429,98.796,1.204,39284.59,6.146,3.139,25.94,201.832,NA,0.012181361363670555
Ecuador,ECU,1990,10473624,64188502016,66.237,13.852,82.704,17.296,7732.004,2.535,3.231,6.349,80.089,NA,0.20912782885698328
Egypt,EGY,1990,58396583,227979902976,361.893,27.647,92.903,7.097,6701.136,9.856,2.584,41.952,389.53999999999996,NA,0.07639550916983749
Estonia,EST,1990,1570254,27066095616,127.585,0,100,0,81251.188,6.36,5.246,17.18,127.585,NA,0
Finland,FIN,1990,4986530,134055206912,220.153,46.278,68.839,14.47,64824.422,19.635,6.467,54.36,266.431,NA,0.2102083550984997
France,FRA,1990,56990186,1636207689728,1593.225,155.607,60.78,5.936,46496.133,56.533,2.18,416.04,1748.8319999999999,NA,0.0976679376735866
Germany,DEU,1990,79707913,2015547490304,3703.867,52.837,88.603,1.264,52600.066,-67.548,-1.586,542.26,3756.704,NA,0.014265361040231737
Greece,GRC,1990,10258439,161708982272,282.076,4.919,98.286,1.714,28007.426,10.243,3.697,34.2,286.995,NA,0.017438562656872613
High-income countries,NA,1990,1187952068,NA,57435.453,4064.838,86.021,6.088,56502.273,357.492,0.535,9061.17,61500.291000000005,NA,0.07077228066783073
Hong Kong,HKG,1990,5560560,159035326464,139.358,0,100,0,25061.818,-3.502,-2.451,28.96,139.358,NA,0
Hungary,HUN,1990,10381231,106788855808,283.713,0.548,88,0.17,31138.449,-6.65,-2.016,28.44,284.261,NA,0.0019315293976659511
Iceland,ISL,1990,254791,7325718528,8.603,12.422,40.917,59.083,85121.078,0.01,0.046,4.447,21.025,NA,1.4439149134023017
India,IND,1990,864972170,1750992945152,2086.011,184.638,91.155,8.068,2659.856,157.288,7.338,287.763,2270.649,NA,0.08851247668396764
Indonesia,IDN,1990,183501051,718548893696,577.781,21.558,96.403,3.597,3270.711,55.31,10.151,33.115,599.3389999999999,NA,0.0373117149923587
Iran,IRN,1990,58380046,318478254080,789.457,20.503,97.469,2.531,13896.582,90.308,12.526,57.655,809.96,NA,0.025971015520794675
Iraq,IRQ,1990,17581160,71051763712,223.952,12.917,94.547,5.453,13520.319,-18.214,-7.117,28.373,236.869,NA,0.05767753804386654
Ireland,IRL,1990,3513969,66087473152,115.825,1.936,98.356,1.644,33547.914,6.414,5.754,14.21,117.761,NA,0.016714871573494494
Israel,ISR,1990,4544949,93268262912,129.126,0.008,99.994,0.006,28412.926,4.86,3.91,20.898,129.13400000000001,NA,6.195498969998296e-5
Italy,ITA,1990,57031408,1475485368320,2049.394,98.088,95.432,4.568,37737.613,327.285,17.934,213.15,2147.482,NA,0.0478619533384015
Japan,JPN,1990,123399717,3699821510656,4339.647,276.816,84.152,5.368,42012.133,123.732,2.445,881.5,4616.463,NA,0.06378767673960578
Kazakhstan,KAZ,1990,17154015,194940977152,837.644,20.461,97.616,2.384,50100.539,9.929,1.169,87.379,858.105,NA,0.024426844817129947
Kuwait,KWT,1990,1684784,20899600384,91.493,0,100,0,54305.281,-63.558,-40.992,18.477,91.493,NA,0
Latvia,LVA,1990,2660082,42100703232,73.316,12.489,85.445,14.555,32559.318,1.574,1.85,6.65,85.805,NA,0.17034480877298272
Lithuania,LTU,1990,3694967,51021991936,146.51,1.15,75.143,0.59,53062.891,-2.507,-1.262,28.4,147.66,NA,0.007849293563579277
Lower-middle-income countries,NA,1990,1711861723,NA,3586.623,342.968,90.835,8.686,2318.13,224.362,5.993,487.543,3929.591,NA,0.09562421252526401
Luxembourg,LUX,1990,381666,14057150464,36.904,0.234,99.371,0.629,97339.703,2.034,5.793,0.62,37.138000000000005,NA,0.006340776067634945
Malaysia,MYS,1990,17833124,143192129536,229.641,11.185,95.355,4.645,13544.882,11.993,5.225,23.016,240.826,NA,0.04870645921242287
Mexico,MEX,1990,82820134,823577477120,1223.802,84.021,92.995,6.385,15926.942,109.242,9.03,117.592,1307.8229999999999,NA,0.06865571391450578
Morocco,MAR,1990,24375508,102154756096,79.148,3.389,95.894,4.106,3395.037,1.909,2.361,9.628,82.53699999999999,NA,0.042818517208268056
Netherlands,NLD,1990,15030838,411390803968,898.242,2.485,98.659,0.273,60591.082,22.277,2.507,70.7,900.727,NA,0.0027665150371503446
New Zealand,NZL,1990,3396932,74483236864,109.201,73.632,59.727,40.273,54883.371,7.191,4.012,32.614,182.833,NA,0.6742795395646561
North Macedonia,MKD,1990,2063645,17074264064,28.208,1.364,95.388,4.612,14372.418,NA,NA,5.75,29.572,NA,0.04835507657402156
Norway,NOR,1990,4241384,124859203584,134.018,337.179,28.442,71.558,116217.445,2.735,0.558,121.6,471.197,NA,2.515923234192422
Oman,OMN,1990,1763918,18309502976,46.62,0,100,0,26429.732,6.852,17.23,4.501,46.62,NA,0
Pakistan,PAK,1990,116155530,290069512192,253.785,47.459,83.921,15.694,2630.077,13.253,4.535,45.985,301.244,NA,0.18700474811356071
Peru,PER,1990,22014724,103571996672,75.626,29.506,71.935,28.065,4861.154,-0.938,-0.869,13.808,105.132,NA,0.39015682437257027
Philippines,PHL,1990,62854613,227937189888,152.681,35.263,81.237,18.763,2982.897,6.107,3.367,26.327,187.94400000000002,NA,0.2309586654528068
Poland,POL,1990,38055404,310673178624,1205.964,4.108,99.661,0.339,31804.41,-259.194,-17.638,134.43,1210.072,NA,0.003406403507899075
Portugal,PRT,1990,9989475,171225923584,173.362,27.604,86.264,13.736,20286.602,7.181,3.673,28.33,200.966,NA,0.1592275123729537
Qatar,QAT,1990,440133,5221963264,78.838,0,100,0,179122.359,1.092,1.405,4.842,78.838,NA,0
Romania,ROU,1990,22939481,127957835776,701.467,31.703,95.676,4.324,32050.213,-37.262,-4.824,64.3,733.17,NA,0.045195283598515684
Russia,RUS,1990,148979487,1834865131520,9246.796,463.663,92.107,4.619,67634.164,-179.726,-1.752,1082.2,9710.459,NA,0.05014309821477623
Saudi Arabia,SAU,1990,10640660,230231015424,928.337,0,100,0,87244.312,71.792,8.382,79.88,928.337,NA,0
Singapore,SGP,1990,3039544,69065572352,272.832,0.266,99.903,0.097,89850.188,44.566,19.501,15.618,273.098,NA,9.749589490968802e-4
Slovakia,SVK,1990,5266022,65119608832,208.642,5.222,84.369,2.112,47161.547,0.678,0.274,25.49,213.864,NA,0.025028517748104412
Slovenia,SVN,1990,1997968,36026961920,47.24,8.261,69.125,12.088,34609.711,NA,NA,12.44,55.501000000000005,NA,0.17487298899237932
South Africa,ZAF,1990,40746216,235128504320,1002.708,2.806,97.447,0.273,25270.297,33.947,3.409,167.226,1005.514,NA,0.0027984218735663826
South Korea,KOR,1990,44081380,594764496896,914.822,13.014,85.12,1.211,24471.604,136.52,14.489,118.461,927.836,NA,0.014225718227152385
Spain,ESP,1990,39084924,756125007872,837.83,72.344,78.972,6.819,27344.418,0.367,0.034,151.16,910.174,NA,0.08634687227719226
Sri Lanka,LKA,1990,16352408,67098669056,20.588,8.736,70.21,29.79,1827.681,3.091,11.537,3.15,29.324,NA,0.4243248494268506
Sweden,SWE,1990,8558526,240234004480,230.102,207.502,36.698,33.094,75270.742,-26.62,-3.968,145.98,437.60400000000004,NA,0.9017826876776386
Switzerland,CHE,1990,6713123,234154442752,175.511,84.143,54.028,25.902,49399.566,13.462,4.231,56.015,259.654,NA,0.47941724450319356
Taiwan,TWN,1990,20594854,319544655872,471.43,18.387,81.126,3.164,28367.852,35.934,6.554,90.194,489.817,NA,0.03900260908300278
Thailand,THA,1990,54738282,407627792384,339.329,13.69,96.122,3.878,6465.27,52.9,17.575,44.113,353.019,NA,0.04034432659749093
Trinidad and Tobago,TTO,1990,1252162,17710559232,69.501,0.097,99.861,0.139,55583.824,6.879,10.967,3.577,69.598,NA,0.0013956633717500467
Turkey,TUR,1990,56015570,486761168896,492.631,64.549,88.415,11.585,10020.534,43.693,8.441,57.54,557.18,NA,0.1310291069786514
Turkmenistan,TKM,1990,3760508,21201768448,160.999,0.008,99.995,0.005,42815.492,-22.282,-12.157,14.61,161.007,NA,4.968974962577408e-5
Ukraine,UKR,1990,52054034,495935160320,2947.448,29.206,92.447,0.916,61372.719,462.64,16.934,300.72,2976.654,NA,0.00990891103083074
United Arab Emirates,ARE,1990,1898182,40641368064,344.953,0,100,0,181727.938,4.788,1.407,17.081,344.953,NA,0
United Kingdom,GBR,1990,57367820,1505692221440,2304.77,16.101,92.062,0.643,43724.746,19.701,0.792,319.75,2320.871,NA,0.006985946536964643
United States,USA,1990,253373337,9250377039872,19818.104,1017.039,87.995,4.516,89232.734,62.371,0.277,3232.78,20835.143,NA,0.05131868315959993
Upper-middle-income countries,NA,1990,2133209778,NA,19558.807,1572.572,91.392,7.348,10078.627,989.689,4.825,2026.745,21131.379,NA,0.08040224539257429
Uzbekistan,UZB,1990,20464919,139398692864,500.022,18.467,96.438,3.562,25393.721,23.176,4.668,56.325,518.489,NA,0.03693237497550107
Venezuela,VEN,1990,19826964,256078512128,494.196,102.731,82.79,17.21,30441.107,35.493,6.248,59.321,596.927,NA,0.20787501315267623
Vietnam,VNM,1990,65504503,109939941376,61.252,14.914,80.419,19.581,1177.446,5.441,7.59,8.681,76.166,NA,0.24348592699013907
Algeria,DZA,1991,25987891,121105145856,311.229,0.814,99.739,0.261,12009.251,-2.879,-0.914,17.345,312.043,2.4122707029176937,0.00261543750743022
Argentina,ARG,1991,33230247,376057921536,453.107,44.491,87.28,8.57,15722.383,8.833,1.72,53.854,497.598,1.4482538833739638,0.09819093503300544
Australia,AUS,1991,17353139,461302104064,995.34,45.746,95.606,4.394,60158.559,-7.14,-0.679,157.964,1041.086,1.324808485500824,0.045960174412763476
Austria,AUT,1991,7757088,215992680448,252.509,91.174,73.472,26.528,45042.695,15.576,4.666,50.16,343.683,1.0092476387386708,0.3610722786118515
Azerbaijan,AZE,1991,7314263,53426622464,245.149,4.887,98.046,1.954,34227.816,-10.2,-3.915,23.449,250.036,1.1509832271590443,0.019934815153233337
Bangladesh,BGD,1991,113787065,117331558400,68.777,2.328,96.726,3.274,626.21,-2.602,-3.523,8.27,71.105,1.9289797807783342,0.0338485249429315
Belarus,BLR,1991,10193837,114005540864,464.853,0.05,99.989,0.011,45606.594,-1.066,-0.229,38.735,464.903,0.0748855634122567,1.0756088483886305e-4
Belgium,BEL,1991,9998909,278686629888,519.606,1.593,81.156,0.249,64294.996,21.527,3.465,71.19,521.199,0.381340124671165,0.0030657844597637442
Brazil,BRA,1991,151724204,1213090103296,888.136,692.516,56.046,43.701,10703.906,61.069,3.907,234.376,1580.652,1.7305658549610008,0.7797409405766684
